level_0,level_1,level_2,level_3,level_4,description
Neurodevelopment,,,,,Refers to the neurological and psychological growth and development processes in individuals.
Neurodevelopment,Motor Skills,,,,Coordination and physical movement abilities.
Neurodevelopment,Motor Skills,Fine Motor Skills,,,"Control of small muscles, enabling activities like writing or buttoning shirts."
Neurodevelopment,Motor Skills,Fine Motor Skills,Hand-Eye Coordination,,Ability to coordinate hand movements with visual input.
Neurodevelopment,Motor Skills,Fine Motor Skills,Hand-Eye Coordination,Visual Tracking,The ability to accurately follow moving objects with the eyes.
Neurodevelopment,Motor Skills,Fine Motor Skills,Hand-Eye Coordination,Grip Strength,The force applied by the hand when gripping an object.
Neurodevelopment,Motor Skills,Fine Motor Skills,Dexterity,,"Skill and grace in physical movement, specifically of the hands."
Neurodevelopment,Motor Skills,Fine Motor Skills,Dexterity,Finger Dexterity,The ability to control and manipulate small objects with fingers.
Neurodevelopment,Motor Skills,Fine Motor Skills,Dexterity,Bimanual Coordination,The coordinated use of both hands to accomplish a task.
Neurodevelopment,Motor Skills,Gross Motor Skills,,,Use of large muscles for actions such as walking or jumping.
Neurodevelopment,Motor Skills,Gross Motor Skills,Balance,,Ability to maintain equilibrium while stationary or moving.
Neurodevelopment,Motor Skills,Gross Motor Skills,Balance,Static Balance,The ability to maintain control of the body's position while standing still.
Neurodevelopment,Motor Skills,Gross Motor Skills,Balance,Dynamic Balance,The ability to maintain control of the body while moving.
Neurodevelopment,Motor Skills,Gross Motor Skills,Coordination,,Smooth and efficient movement patterns.
Neurodevelopment,Motor Skills,Gross Motor Skills,Coordination,Eye-Foot Coordination,The ability to coordinate visual input with movements of the feet.
Neurodevelopment,Motor Skills,Gross Motor Skills,Coordination,Gross Body Coordination,The integrated use of multiple body parts in overall movement.
Neurodevelopment,Language Development,,,,"Development of communication abilities, both verbal and non-verbal."
Neurodevelopment,Language Development,Receptive Language,,,Ability to understand language.
Neurodevelopment,Language Development,Receptive Language,Vocabulary Comprehension,,Understanding and processing of words and their meanings.
Neurodevelopment,Language Development,Receptive Language,Vocabulary Comprehension,Semantic Processing,Understanding and processing the meanings of words within context.
Neurodevelopment,Language Development,Receptive Language,Vocabulary Comprehension,Word Recognition,The ability to recognize and understand words quickly and accurately.
Neurodevelopment,Language Development,Receptive Language,Grammar Comprehension,,Understanding the rules that govern sentence structure and syntax.
Neurodevelopment,Language Development,Receptive Language,Grammar Comprehension,Syntax Processing,The ability to comprehend grammatically structured sentences.
Neurodevelopment,Language Development,Receptive Language,Grammar Comprehension,Morphological Knowledge,Understanding the structure of words including roots and affixes.
Neurodevelopment,Language Development,Expressive Language,,,Ability to convey or communicate information.
Neurodevelopment,Language Development,Expressive Language,Vocabulary Usage,,Effective use of words to communicate ideas.
Neurodevelopment,Language Development,Expressive Language,Vocabulary Usage,Word Production,The ability to produce spoken words clearly and fluently.
Neurodevelopment,Language Development,Expressive Language,Vocabulary Usage,Lexical Selection,Choosing the right words to convey precise meanings.
Neurodevelopment,Language Development,Expressive Language,Syntax and Grammar Usage,,Ability to construct sentences with correct syntax and grammar.
