level_0,level_1,level_2,description
Negative Valence Systems,"Negative Valence Systems are primarily responsible for responses to aversive situations or context, such as fear, anxiety, and loss.",,
Negative Valence Systems,Acute Threat,Processes associated with fear and anxiety in response to immediate danger or threat.,
Negative Valence Systems,Acute Threat,Fear Response,Immediate physiological and behavioral reactions to perceived threats.
Negative Valence Systems,Acute Threat,Threat Detection,Processes involved in identifying and assessing immediate dangers in the environment.
Negative Valence Systems,Potential Threat,Processes associated with anxiety and vigilance in response to uncertain or potential future threats.,
Negative Valence Systems,Potential Threat,Anticipatory Anxiety,Emotional and cognitive processes related to the expectation of future threats or negative outcomes.
Negative Valence Systems,Potential Threat,Risk Assessment,Evaluation of potential dangers and their likelihood in uncertain situations.
Negative Valence Systems,Sustained Threat,Processes associated with prolonged exposure to adverse situations or contexts.,
Negative Valence Systems,Sustained Threat,Chronic Stress Response,Physiological and psychological adaptations to ongoing adverse conditions.
Negative Valence Systems,Sustained Threat,Allostatic Load,Cumulative wear and tear on the body's systems due to chronic stress.
Negative Valence Systems,Loss,"Processes associated with depressive states following the loss of a valued object, person, or concept.",
Negative Valence Systems,Loss,Grief Response,Emotional and cognitive reactions to significant loss.
Negative Valence Systems,Loss,Adaptation to Loss,Processes involved in adjusting to and coping with loss over time.
Positive Valence Systems,"Positive Valence Systems are primarily responsible for responses to positive motivational situations or contexts, such as reward seeking and consummatory behavior.",,
Positive Valence Systems,Reward Seeking,Processes involved in the pursuit and anticipation of rewards.,
Positive Valence Systems,Reward Seeking,Motivation,Drive and energy directed towards obtaining rewards or positive outcomes.
Positive Valence Systems,Reward Seeking,Goal-Directed Behavior,Actions and strategies employed to achieve desired rewards or outcomes.
Positive Valence Systems,Reward Responsiveness,Processes involved in experiencing pleasure or positive emotions in response to rewards.,
Positive Valence Systems,Reward Responsiveness,Hedonic Response,The experience of pleasure or positive affect in response to rewards.
Positive Valence Systems,Reward Responsiveness,Reward Valuation,The subjective assessment of the value or importance of different rewards.
Positive Valence Systems,Habit Formation,Processes involved in the development and maintenance of reward-related habits.,
