level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,description
Cognitive Function,,,,,,,,"The mental processes and abilities involved in thinking, learning, remembering, and reasoning"
Cognitive Function,Memory,,,,,,,"The ability to encode, store, and retrieve information"
Cognitive Function,Memory,Working Memory,,,,,,The ability to temporarily hold and manipulate information in mind
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,,,,The capacity to temporarily hold and manipulate verbal information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,,,,The component responsible for temporary storage and rehearsal of verbal information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,Phonological Store,,,The passive storage component that holds speech-based information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,Articulatory Rehearsal,,,The active process of maintaining verbal information through mental repetition
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Semantic Working Memory,,,,The ability to temporarily maintain and manipulate meaning-based verbal information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,,,,The capacity to temporarily hold and manipulate visual and spatial information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Pattern Memory,,,,The ability to temporarily maintain and manipulate visual patterns and objects
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Spatial Location Memory,,,,The ability to temporarily maintain and manipulate information about spatial locations and relationships
Cognitive Function,Memory,Long-term Memory,,,,,,The storage and retrieval of information over extended periods
Cognitive Function,Memory,Long-term Memory,Declarative Memory,,,,,"Memory for facts, events, and explicit knowledge that can be consciously recalled"
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Episodic Memory,,,,Memory for personally experienced events and their temporal-spatial context
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Episodic Memory,Autobiographical Memory,,,Memory for personal life events and experiences
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Episodic Memory,Source Memory,,,Memory for the context or source of learned information
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Semantic Memory,,,,"Memory for general knowledge, concepts, and facts about the world"
Cognitive Function,Memory,Long-term Memory,Procedural Memory,,,,,"Memory for skills, procedures, and implicit knowledge that is expressed through performance"
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Motor Procedural Memory,,,,Memory for physical skills and movement sequences
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Cognitive Procedural Memory,,,,Memory for cognitive routines and problem-solving procedures
Cognitive Function,Memory,Short-term Memory,,,,,,The capacity to hold a small amount of information in a readily available state for a brief period
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,,,,,The ability to temporarily hold auditory information
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,,,,,The ability to temporarily hold visual information
Cognitive Function,Executive Function,,,,,,,"Higher-order cognitive processes that enable goal-directed behavior, planning, and problem-solving"
Cognitive Function,Executive Function,Cognitive Flexibility,,,,,,The ability to switch between different tasks or mental sets
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,,,,,The ability to shift attention between different tasks or response rules
Cognitive Function,Executive Function,Cognitive Flexibility,Adaptive Thinking,,,,,The ability to adjust thinking and behavior in response to changing situations
Cognitive Function,Executive Function,Inhibitory Control,,,,,,The ability to suppress irrelevant responses or information
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,,,,,The ability to suppress automatic or prepotent responses
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Motor Response Inhibition,,,,The ability to suppress planned or ongoing physical responses
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,Cognitive Response Inhibition,,,,The ability to suppress automatic thoughts or mental responses
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,,,,,The ability to filter out irrelevant information or distractions
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,Proactive Interference Control,,,,The ability to resist interference from previously learned information
