level_1,level_2,level_3,level_4,level_5,level_6,level_7,description
Cognitive Function,,,,,,,"The mental processes and abilities involved in acquiring knowledge, processing information, and engaging in complex thought processes"
Cognitive Function,Memory,,,,,,"The ability to encode, store, retain, and subsequently recall information and experiences"
Cognitive Function,Memory,Working Memory,,,,,The ability to temporarily hold and manipulate information for complex cognitive tasks
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,,,The ability to temporarily store and manipulate verbal information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,,,The component responsible for temporary storage and rehearsal of verbal information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,Articulatory Rehearsal,,The process of mentally repeating verbal information to maintain it in memory
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,Phonological Store,,The temporary storage buffer for speech-based information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Verbal Manipulation,,,The ability to actively manipulate and process verbal information being held in memory
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Verbal Manipulation,Verbal Updating,,The ability to modify and update verbal information in working memory
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Verbal Manipulation,Verbal Sequencing,,The ability to maintain and manipulate sequences of verbal information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,,,The ability to temporarily store and manipulate visual and spatial information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Cache,,,The temporary storage of visual patterns and forms
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Cache,Object Features,,"Storage of visual properties such as color, shape, and size"
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Cache,Visual Complexity,,Storage capacity for complex visual patterns and configurations
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Inner Scribe,,,The component responsible for maintaining spatial and movement information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Inner Scribe,Spatial Location,,Processing of position and spatial relationships information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Inner Scribe,Movement Sequences,,Processing of dynamic spatial information and movement patterns
Cognitive Function,Memory,Long-term Memory,,,,,The storage and retrieval of information over extended periods of time
Cognitive Function,Memory,Long-term Memory,Episodic Memory,,,,Memory for personally experienced events and their temporal-spatial context
Cognitive Function,Memory,Long-term Memory,Episodic Memory,Event Memory,,,Memory for specific events and their details
Cognitive Function,Memory,Long-term Memory,Episodic Memory,Source Memory,,,Memory for the context in which information was acquired
Cognitive Function,Memory,Long-term Memory,Semantic Memory,,,,"Memory for general knowledge, facts, and concepts"
Cognitive Function,Memory,Long-term Memory,Semantic Memory,Categorical Knowledge,,,Memory for classification and categorization of concepts
Cognitive Function,Memory,Long-term Memory,Semantic Memory,Factual Knowledge,,,Memory for specific facts and information
Cognitive Function,Memory,Long-term Memory,Autobiographical Memory,,,,Memory for events and experiences from one's own life
Cognitive Function,Memory,Long-term Memory,Autobiographical Memory,Personal Semantic Memory,,,Memory for personal facts and general self-knowledge
Cognitive Function,Memory,Long-term Memory,Autobiographical Memory,Personal Episodic Memory,,,Memory for specific personal life events
Cognitive Function,Memory,Short-term Memory,,,,,The capacity to hold a small amount of information in an immediately available state for a brief period
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,,,,The ability to temporarily hold auditory information
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,,,,The ability to temporarily hold visual information
Cognitive Function,Executive Function,,,,,,"Higher-order cognitive processes that enable goal-directed behavior, including planning, decision-making, and problem-solving"
