level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,,,,,"Core mental abilities and processes that enable understanding, learning, reasoning, and memory"
Cognitive Function,Memory,,,,"The ability to encode, store, and retrieve information"
Cognitive Function,Memory,Working Memory,,,The ability to temporarily hold and manipulate information in consciousness
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,The ability to temporarily hold and manipulate verbal information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,The component responsible for temporarily storing and rehearsing speech-based information
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Sentence Processing,The ability to hold and process complex verbal information in sentence form
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,The ability to temporarily hold and manipulate visual and spatial information
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Cache,The temporary storage of visual patterns and forms
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Inner Scribe,The temporary storage and manipulation of spatial and movement information
Cognitive Function,Memory,Long-term Memory,,,The system for storing and retrieving information over extended periods
Cognitive Function,Memory,Long-term Memory,Episodic Memory,,Memory for personally experienced events and their contexts
Cognitive Function,Memory,Long-term Memory,Episodic Memory,Autobiographical Memory,Memory for personal life events and experiences
Cognitive Function,Memory,Long-term Memory,Episodic Memory,Source Memory,Memory for the context and source of learned information
Cognitive Function,Memory,Long-term Memory,Semantic Memory,,"Memory for facts, concepts, and general knowledge"
Cognitive Function,Memory,Long-term Memory,Semantic Memory,Category Knowledge,Memory for conceptual categories and their relationships
Cognitive Function,Memory,Long-term Memory,Semantic Memory,Fact Knowledge,Memory for specific facts and information
Cognitive Function,Memory,Long-term Memory,Procedural Memory,,"Memory for skills, procedures, and motor sequences"
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Motor Skill Memory,Memory for learned physical movements and sequences
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Cognitive Skill Memory,Memory for learned cognitive procedures and routines
Cognitive Function,Memory,Short-term Memory,,,The capacity to hold a small amount of information in an readily available state for a brief period
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,,The ability to temporarily hold auditory information
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,Immediate Digit Span,The ability to hold and repeat sequences of numbers
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,Phonological Storage,The ability to temporarily store speech sounds
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,,The ability to temporarily hold visual information
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,Visual Pattern Memory,The ability to temporarily hold visual patterns and designs
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,Spatial Position Memory,The ability to temporarily hold information about spatial locations
Cognitive Function,Executive Function,,,,"Higher-order cognitive processes that enable goal-directed behavior, planning, and problem-solving"
Cognitive Function,Executive Function,Cognitive Flexibility,,,The ability to adapt thinking and behavior in response to changing circumstances
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,,The ability to shift attention between different tasks or mental sets
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,Rule Switching,The ability to switch between different rules or criteria for task completion
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,Attention Shifting,The ability to redirect attention between different stimuli or task demands
Cognitive Function,Executive Function,Cognitive Flexibility,Alternative Strategy Generation,,The ability to generate different approaches to solving problems
Cognitive Function,Executive Function,Cognitive Flexibility,Alternative Strategy Generation,Creative Problem Solving,The ability to generate novel solutions to problems
Cognitive Function,Executive Function,Cognitive Flexibility,Alternative Strategy Generation,Strategy Adaptation,The ability to modify strategies based on feedback or changing conditions
Cognitive Function,Executive Function,Inhibitory Control,,,The ability to suppress automatic or inappropriate responses
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,,The ability to suppress automatic motor responses
