level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,description
Cognitive Function,,,,,,,,,"Cognitive function refers to various mental processes and abilities involved in perception, memory, reasoning, and decision-making.",
Cognitive Function,Memory,,,,,,,,"The ability to encode, store, and retrieve information.",
Cognitive Function,Memory,Working Memory,,,,,,,The ability to hold and manipulate information temporarily for cognitive tasks.,
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,,,,,The ability to hold and manipulate verbal information temporarily.,
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,,,,,A component of working memory that deals with auditory and verbal information.,
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Verbal Rehearsal,,,,,The process of repeating verbal information to keep it in working memory.,
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,,,,,The ability to hold and manipulate visual and spatial information temporarily.,
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Cache,,,,,A component of working memory that processes the appearance and location of visual information.,
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Inner Scribe,,,,,A component that rehearses spatial and movement information.,
Cognitive Function,Memory,Long-Term Memory,,,,,,,The ability to store and retrieve information over long periods.,
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,,,,,,Memory of facts and events that can be consciously recalled.,
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,Episodic Memory,,,,,Memory of personal experiences and specific events in time.,
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,Episodic Memory,Autobiographical Memory,,,,Memory of personal history and lifetime experiences.,
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,Episodic Memory,Source Memory,,,,The ability to recall the origin of learned information.,
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,Semantic Memory,,,,,"Memory of meanings, understandings, and other concept-based knowledge.",
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,Semantic Memory,Lexical Memory,,,,Storage and retrieval of word meaning and association.,
Cognitive Function,Memory,Long-Term Memory,Declarative Memory,Semantic Memory,Conceptual Memory,,,,Storage and retrieval of general knowledge or concepts unrelated to personal experiences.,
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,,,,,,"Memory of skills and how to perform tasks, often without conscious awareness.",
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Motor Skills,,,,,Memory of physical movements and coordination tasks.,
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Motor Skills,Fine Motor Skills,,,,"Skills involving small muscles, such as using fingers to write.",
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Motor Skills,Gross Motor Skills,,,,"Skills involving large muscles, like running or jumping.",
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Cognitive Skills,,,,,Memory of how to perform tasks that require mental processes.,
