level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,description
Cognitive Function,,,,,,,,,,,"Cognitive Function encompasses mental processes that include the ability to learn new things, intuition, judgment, language, and remembering."
Cognitive Function,Memory,,,,,,,,,,"Memory involves the processes that are used to acquire, store, retain, and later retrieve information."
Cognitive Function,Memory,Working Memory,,,,,,,,,Working memory involves the temporary storage and manipulation of information necessary for complex cognitive tasks.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,,,,,,,The ability to temporarily store and manipulate verbal information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,,,,,,,A component of working memory that deals with auditory information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,Subvocal Rehearsal,,,,,,The silent repetition of information to maintain it in the phonological loop.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,Phonological Store,,,,,,Temporary storage for auditory information in working memory.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Articulatory Suppression,,,,,,,The process of inhibiting verbal memory by speaking while trying to remember verbal information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Articulatory Suppression,Overt Speech Interference,,,,,,Verbal interference due to concurrent speech while remembering.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Articulatory Suppression,Silent Interference,,,,,,Interruptions in memory retention without verbal output.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,,,,,,,The ability to temporarily store and manipulate spatial and visual information.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Corsi Block-Tapping Task,,,,,,,A measure of visuo-spatial short-term memory in which individuals must replicate a sequence of blocks.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Corsi Block-Tapping Task,Spatial Sequencing,,,,,,Recalling the order of spatial positions.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Sketchpad,,,,,,,A component of working memory that stores visual and spatial information.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Sketchpad,Image Rotation,,,,,,Mentally rotating images to aid visual memory.
Cognitive Function,Memory,Short-Term Memory,,,,,,,,,Short-term memory involves information being stored for a short period of time.
Cognitive Function,Memory,Short-Term Memory,Auditory Short-Term Memory,,,,,,,,The ability to remember auditory information for a short period.
Cognitive Function,Memory,Short-Term Memory,Auditory Short-Term Memory,Immediate Recall,,,,,,,Recalling information immediately after it is presented.
