level_0,level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,,,,,"The overall ability to think, understand, learn, and remember. It includes different cognitive processes that help in acquiring knowledge, making decisions, and solving problems.",
Cognitive Function,Memory,,,,"The ability to encode, store, and recall information.",
Cognitive Function,Memory,Short-term Memory,,,The capacity to hold a small amount of information in mind for a brief period.,
Cognitive Function,Memory,Short-term Memory,Phonological Loop,,A subcomponent of working memory responsible for the temporary storage and manipulation of verbal information.,
Cognitive Function,Memory,Short-term Memory,Phonological Loop,Phonemic Awareness,The ability to recognize and manipulate phonemes in spoken words.,
Cognitive Function,Memory,Short-term Memory,Phonological Loop,Phonemic Awareness,Phoneme Matching,The ability to identify words that begin or end with the same sound.
Cognitive Function,Memory,Short-term Memory,Phonological Loop,Verbal Rehearsal,The practice of repeating a word or phrase to keep it in working memory.,
Cognitive Function,Memory,Short-term Memory,Phonological Loop,Verbal Rehearsal,Articulatory Suppression,A process that disrupts verbal rehearsal by repeating irrelevant speech sounds.
Cognitive Function,Memory,Short-term Memory,Visuospatial Sketchpad,,A subcomponent of working memory that stores and processes information in a visual or spatial form.,
Cognitive Function,Memory,Short-term Memory,Visuospatial Sketchpad,Spatial Recall,The ability to remember visual and spatial information.,
Cognitive Function,Memory,Short-term Memory,Visuospatial Sketchpad,Spatial Recall,Path Memory,Recall of spatial routes and pathways.
Cognitive Function,Memory,Short-term Memory,Visuospatial Sketchpad,Imagery Maintenance,The process of retaining mental images in the mind.,
Cognitive Function,Memory,Short-term Memory,Visuospatial Sketchpad,Imagery Maintenance,Image Rotation,The ability to mentally rotate images to different orientations.
Cognitive Function,Memory,Long-term Memory,,,The ability to store and retrieve information over a longer duration.,
Cognitive Function,Memory,Long-term Memory,Declarative Memory,,The aspect of long-term memory involving the storage of facts and events.,
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Semantic Memory,The memory of facts and general knowledge.,
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Semantic Memory,Concept Formation,The process of categorizing information based on shared properties.
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Episodic Memory,The memory of personal experiences and specific events in time.,
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Episodic Memory,Autobiographical Memory,The memory of one's own specific life events and experiences.
Cognitive Function,Memory,Long-term Memory,Procedural Memory,,Type of long-term memory involved in the acquisition of skills and habits.,
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Motor Skills,Memories of actions and sequences needed to perform tasks.,
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Motor Skills,Gross Motor Coordination,The ability to control large muscle movements.
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Cognitive Skills,Memory of strategies and problem-solving methods.,
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Cognitive Skills,Heuristics,"Simple, efficient rules used to make decisions or problem-solve."
Cognitive Function,Memory,Working Memory,,,The ability to hold and manipulate information temporarily while performing cognitive tasks.,
Cognitive Function,Memory,Working Memory,Central Executive Function,,The component of working memory responsible for directing attention and coordinating cognitive processes.,
Cognitive Function,Memory,Working Memory,Central Executive Function,Task Switching,The ability to shift attention between different tasks or mental processes.,
Cognitive Function,Memory,Working Memory,Central Executive Function,Task Switching,Cognitive Shifting,Changing mental goals or tasks efficiently based on new information.
Cognitive Function,Memory,Working Memory,Central Executive Function,Updating and Monitoring,The process of reviewing and revising information in working memory.,
Cognitive Function,Memory,Working Memory,Central Executive Function,Updating and Monitoring,Dynamic Memory Adaptation,Adjusting strategies based on changes in memory content or task requirements.
Cognitive Function,Memory,Working Memory,Episodic Buffer,,"A component of working memory where information from different domains is integrated to form a single, coherent episode.",
Cognitive Function,Memory,Working Memory,Episodic Buffer,Binding,The process of combining various pieces of information to form a cohesive memory.,
Cognitive Function,Memory,Working Memory,Episodic Buffer,Binding,Feature Integration,The process of integrating multiple sensory inputs into a single perception.
Cognitive Function,Memory,Working Memory,Episodic Buffer,Integration,The ability to unite disparate pieces of information into a single representation.,
