level_1,level_2,level_3,level_4,level_5,level_6,description
Cognitive Function,,,,,,"Cognitive Function encompasses various mental processes that allow an individual to carry out any task, from the simplest to the most complex. It includes processes like perception, memory, judgment, and reasoning."
Cognitive Function,Attention,,,,,"The ability to sustain concentration on a particular object, action, or thought, and manage competing demands in our environment."
Cognitive Function,Attention,Selective Attention,,,,The focus on one particular stimulus or task while ignoring other stimuli.
Cognitive Function,Attention,Selective Attention,Focused Attention,,,Concentrating on a specific stimulus while ignoring others.
Cognitive Function,Attention,Selective Attention,Filtering,,,The ability to select relevant inputs from a field of several ones.
Cognitive Function,Memory,,,,,"The processes that are used to acquire, store, retain, and later retrieve information."
Cognitive Function,Memory,Short-term Memory,,,,"The capacity for holding a small amount of information in an active, readily available state for a short period."
Cognitive Function,Memory,Short-term Memory,Phonological Loop,,,Part of short-term memory that deals with verbal and auditory information.
Cognitive Function,Memory,Short-term Memory,Phonological Loop,Subvocal Rehearsal,,The process of silently speaking to oneself to maintain verbal information in working memory.
Cognitive Function,Memory,Short-term Memory,Visual-Spatial Sketchpad,,,Part of short-term memory responsible for handling visual and spatial information.
Cognitive Function,Memory,Short-term Memory,Visual-Spatial Sketchpad,Visual Encoding,,The process of encoding images and visual sensory information.
Cognitive Function,Memory,Long-term Memory,,,,"The continuous storage of information, potentially for a lifetime."
Cognitive Function,Memory,Long-term Memory,Explicit Memory,,,Memory of facts and experiences that one can consciously know and declare.
Cognitive Function,Memory,Long-term Memory,Explicit Memory,Episodic Memory,,Conscious recollection of past personal experiences.
Cognitive Function,Memory,Long-term Memory,Explicit Memory,Semantic Memory,,Stores factual information and general knowledge.
Cognitive Function,Memory,Long-term Memory,Implicit Memory,,,Retention independent of conscious recollection; involves skills and conditioned responses.
Cognitive Function,Memory,Long-term Memory,Implicit Memory,Procedural Memory,,"Responsible for knowing how to do things, also known as motor skills."
Cognitive Function,Memory,Long-term Memory,Implicit Memory,Priming,,The effect where exposure to one stimulus influences the response to another stimulus.
Cognitive Function,Executive Function,,,,,Higher-level cognitive skills you use to control and coordinate your other cognitive abilities and behaviors.
Cognitive Function,Executive Function,Problem Solving,,,,The process of finding solutions to difficult or complex issues.
