level_0,level_1,level_2,description
Negative Valence Systems,"Negative Valence Systems are primarily responsible for responses to aversive situations or context, such as fear, anxiety, and loss.",,
Negative Valence Systems,Acute Threat (Fear),Activation of the fear system in response to present or imminent threat.,
Negative Valence Systems,Acute Threat (Fear),Physiological Response,"The body's immediate physical reactions to acute threat, such as increased heart rate, sweating, and muscle tension."
Negative Valence Systems,Acute Threat (Fear),Behavioral Response,"Observable actions or reactions to acute threat, such as fight, flight, or freeze responses."
Negative Valence Systems,Potential Threat (Anxiety),Activation of a system of responses to potential harm or threat.,
Negative Valence Systems,Potential Threat (Anxiety),Worry,Persistent thoughts about potential negative outcomes or future threats.
Negative Valence Systems,Potential Threat (Anxiety),Hypervigilance,Increased alertness and scanning of the environment for potential threats.
Negative Valence Systems,Sustained Threat,"An aversive emotional state caused by prolonged (i.e., weeks to months) exposure to internal and/or external condition(s), state(s), or stimuli that are adaptive to escape or avoid.",
Negative Valence Systems,Sustained Threat,Chronic Stress Response,Long-term activation of the body's stress response systems due to ongoing threat or adversity.
Negative Valence Systems,Sustained Threat,Allostatic Load,The cumulative wear and tear on the body's systems due to chronic exposure to stress.
Negative Valence Systems,Loss,"A state of deprivation of a motivationally significant con-specific, object, or situation.",
Negative Valence Systems,Loss,Grief Response,"The emotional and behavioral reactions to the loss of a significant person, object, or situation."
Negative Valence Systems,Loss,Adaptation to Loss,The process of adjusting to and coping with the absence of the lost entity over time.
Positive Valence Systems,"Positive Valence Systems are primarily responsible for responses to positive motivational situations or contexts, such as reward seeking and consummatory behavior.",,
Positive Valence Systems,Reward Responsiveness,Processes by which organisms respond to occurrences of reward.,
Positive Valence Systems,Reward Responsiveness,Hedonic Response,The experience of pleasure or positive affect in response to rewards.
Positive Valence Systems,Reward Responsiveness,Reward Motivation,The drive to pursue and obtain rewards.
Positive Valence Systems,Reward Learning,"A process by which organisms acquire information about stimuli, actions, and contexts that predict positive outcomes.",
Positive Valence Systems,Reward Learning,Associative Learning,The process of forming associations between stimuli or behaviors and rewards.
Positive Valence Systems,Reward Learning,Reinforcement Learning,"Learning through the consequences of actions, where positive outcomes strengthen future behavior."
Positive Valence Systems,Reward Valuation,"Processes by which the probability and benefits of a prospective outcome are computed and calibrated by reference to external information, social context, and/or prior experience.",
Positive Valence Systems,Reward Valuation,Effort Valuation,The assessment of the cost-benefit ratio of expending effort to obtain a reward.
